grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nr_scell1_cid,nr_scell1_freq,nr_scell2_cid,nr_scell2_freq,nr_scell3_cid,nr_scell3_freq,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.914,40.445,198,5145,None,None,244,850,338,1150,193,66486,None,None,None,None,None,None,32,0.8151999999999999,2.13032,3.536,4.73536,6.0396399999999995,7.2832159999999995,10.33696,4.810515,2.238816631074327
-86.914,40.445,198,5145,None,None,244,850,338,1150,320,66936,None,None,None,None,None,None,4,4.126399999999999,4.6416319999999995,5.41448,7.3960799999999995,9.21388,9.691887999999999,10.010559999999998,7.232279999999999,2.3578533270752864
-86.914,40.445,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,16,0.23359999999999997,0.5143599999999999,1.4492399999999999,2.024,4.68304,5.341199999999999,5.6593599999999995,2.708205,1.840773686897713
-86.914,40.445,483,950,545,174770,None,None,None,None,None,None,None,None,None,None,None,None,29,3.168,3.168,3.168,4.072,4.512,4.512,7.184,4.035310344827587,0.8039310788544979
-86.914,40.445,483,66486,545,174770,7,66936,None,None,None,None,None,None,None,None,None,None,1,4.512,4.512,4.512,4.512,4.512,4.512,4.512,4.512,0.0
-86.914,40.445,110,1400,545,174770,317,850,152,1150,None,None,None,None,None,None,None,None,9,0.12,0.12,0.12,0.12,0.12047999999999999,0.17670400000000003,0.376,0.14931555555555553,0.08017285424646357
-86.914,40.445,110,1400,464,174770,None,None,None,None,None,None,None,None,None,None,None,None,5,0.22976,0.288256,0.376,0.376,0.376,0.7981120000000002,1.07952,0.487456,0.3014015024249216
-86.914,40.445,110,1400,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58,0.0,0.0,0.0,0.0,0.0,0.0,1.88096,0.06577931034482759,0.3177652895036169
-86.9135,40.445,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,134,1.3300799999999997,4.604016,7.826239999999999,10.101439999999998,12.66724,17.106991999999998,29.311519999999998,10.554426268656716,4.992504864757108
-86.9135,40.445,465,5330,None,None,244,850,338,1150,320,66936,None,None,None,None,None,None,79,1.9719999999999998,5.4366080000000006,7.23032,9.08288,12.665040000000001,16.657984,23.27696,10.109911898734175,4.327337112118627
-86.9135,40.445,409,5330,None,None,28,850,483,66486,85,66936,None,None,None,None,None,None,17,5.370239999999999,8.46528,11.2376,14.76928,15.587519999999998,20.778112,25.28416,14.344357647058825,4.970140077324758
-86.9135,40.445,483,950,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,68,0.47359999999999997,0.76,0.88,2.12976,3.05496,4.47128,7.16672,2.3419341176470594,1.6573105038445977
-86.9135,40.445,31,5145,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,61,0.34384,2.784,4.376,6.70656,9.24,9.48,10.96432,6.430470819672132,2.7905739343481413
-86.9135,40.445,7,1400,545,174770,None,None,None,None,None,None,None,None,None,None,None,None,124,5.44,10.504,11.384,13.208,13.718,15.904,17.576,12.78374193548387,2.565339378513317
-86.9135,40.445,7,1400,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,0.0
-86.9135,40.445,7,66936,545,174770,208,850,483,66486,None,None,None,None,None,None,None,None,1,9.48,9.48,9.48,9.48,9.48,9.48,9.48,9.48,0.0
-86.9135,40.445,7,66936,545,174770,439,5330,46,9820,483,66486,None,None,None,None,None,None,1,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,0.0
-86.9135,40.445,7,1400,66,174770,None,None,None,None,None,None,None,None,None,None,None,None,36,2.16,2.16,2.16,3.408,6.376,6.376,10.04,4.607777777777778,2.334415357584934
-86.9135,40.445,85,1400,545,175450,None,None,None,None,None,None,None,None,None,None,None,None,41,0.2352,0.81904,2.408,3.58064,5.13248,6.148639999999999,6.8911999999999995,3.669541463414634,1.8411411010136514
-86.9135,40.445,31,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26,0.0,0.0,0.00192,0.008,0.35335999999999995,0.71088,1.16576,0.23907692307692305,0.3140995371726469
-86.9135,40.445,198,5145,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41,0.536,0.928,0.928,1.872,1.872,2.008,2.008,1.5800975609756098,0.47773488948181025
-86.9135,40.445,198,5145,None,None,244,850,338,1150,193,66486,None,None,None,None,None,None,48,0.3576,2.003264,3.11616,4.284,5.8147199999999994,7.544864,11.62576,4.61527,2.312666222789906
-86.9135,40.445,85,1400,None,None,None,None,None,None,None,None,None,None,None,None,None,None,30,1.2888,2.0560799999999997,3.54976,6.78264,11.451519999999999,12.367104000000003,27.9184,7.721061333333333,5.537806821676931
-86.9135,40.445,198,5145,None,None,244,850,338,1150,320,66936,None,None,None,None,None,None,9,8.34672,9.152351999999999,10.66032,13.10656,13.53536,16.182752,17.58832,12.738648888888887,2.773907090507076
-86.9135,40.445,30,850,66,175450,429,66936,262,66486,None,None,None,None,None,None,None,None,16,0.13391999999999998,1.9324,4.382,5.987679999999999,7.44344,9.618079999999999,10.3616,5.819395,2.883090408428948
-86.9135,40.445,28,850,66,175450,85,66936,483,66486,None,None,None,None,None,None,None,None,4,3.06416,3.068912,3.07604,4.8604,6.81428,7.126544,7.33472,5.02992,1.9731597628169897
-86.9135,40.445,483,950,545,174770,None,None,None,None,None,None,None,None,None,None,None,None,18,2.376,2.376,2.376,2.376,2.528,2.528,3.168,2.479111111111111,0.18221138179137167
-86.9135,40.445,439,5330,None,None,208,850,483,66486,7,66936,None,None,None,None,None,None,53,5.6478399999999995,9.293536,12.34704,17.24672,20.344159999999995,24.524288000000002,26.60848,16.633913962264153,5.4296810738539065
-86.9135,40.445,110,1400,None,None,None,None,None,None,None,None,None,None,None,None,None,None,28,0.0,0.0,0.0,0.0,0.0,0.0,0.029199999999999997,0.0020857142857142854,0.007520149803110605
-86.9135,40.445,110,1400,464,174770,None,None,None,None,None,None,None,None,None,None,None,None,56,0.0,0.0,0.144,0.344,0.6692,1.17856,2.12192,0.48718142857142854,0.4905666677841211
-86.9135,40.4445,483,950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,191,0.12111999999999999,1.94528,4.005199999999999,6.40912,9.3336,10.26512,14.31024,6.363907853403141,3.2415711540019747
-86.9135,40.4445,465,5330,None,None,244,850,338,1150,320,66936,None,None,None,None,None,None,50,0.9471999999999999,4.164511999999999,5.57168,7.69752,10.46528,12.710688,16.16368,8.1334208,3.525940465977178
