grid_lat,grid_lon,thput_sample_num,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100,thput_avg,thput_std
-86.9055,40.425,1439,0.0,0.35248,1.77328,10.227360000000001,25.047759999999997,47.93635200000002,123.75344,17.81928489228631,21.88459545474814
-86.9055,40.4245,2363,0.0,0.488064,2.9936,18.136,41.61848,56.32169600000001,128.33168,24.425626136267457,23.171019992240197
-86.905,40.426,41,7.264,7.264,9.288,14.48,16.696,17.584,17.584,13.234341463414635,3.870343626325931
-86.9105,40.442,10,1.9284799999999997,1.9941439999999997,2.63924,4.32296,5.91324,6.3800799999999995,7.940319999999999,4.407424000000001,1.9328621343655112
-86.912,40.443,11,0.2416,0.9478399999999999,1.1796799999999998,1.88896,5.12,5.184,5.184,2.6761163636363636,1.9240823860988563
-86.9125,40.4435,100,0.12208,0.68904,0.9821599999999999,1.93704,3.24964,4.891040000000008,9.054879999999999,2.4228976,1.8504001886927703
-86.9125,40.444,1006,0.0054399999999999995,0.34656,1.17856,2.84928,4.966399999999999,8.279599999999999,21.44976,3.618975268389662,3.2104614351549183
-86.906,40.436,90,0.0,1.958848,8.574679999999999,10.2,13.37016,17.875648,32.85728,10.832373333333333,6.466781058419165
-86.907,40.438,14,11.97664,12.556448,13.983899999999998,17.03584,23.6712,27.659104,34.190239999999996,19.53681714285714,6.610497165668109
-86.9065,40.4375,46,0.952,6.774559999999999,12.143479999999998,16.88816,22.85984,26.478559999999998,31.21728,16.605940869565217,7.510835423669109
-86.9135,40.4455,69,0.70496,1.2656640000000001,3.192,7.79456,12.859679999999999,17.378047999999996,32.19904,8.965937391304347,6.650015215264199
-86.9155,40.4485,397,0.048,0.208,0.552,1.52,20.233759999999997,26.124352000000002,46.39408,10.162692392947102,11.420105025834205
-86.9155,40.449,396,0.136,0.192,0.376,4.76872,24.17332,33.2144,54.04096,13.01507919191919,14.283643638793562
-86.9155,40.4495,412,0.2,0.48,0.712,3.83736,19.56356,30.331360000000004,49.379999999999995,11.425932427184465,12.475583593190361
-86.9155,40.45,415,0.12688,0.4112,0.536,3.056,13.27648,25.08470400000001,43.95007999999999,8.277130409638554,10.041452553681834
-86.9155,40.4505,729,0.232,0.5096319999999999,2.048,10.135119999999999,16.848,24.752,46.768159999999995,11.543191111111112,9.707169628456144
-86.9155,40.451,456,0.208,0.52,0.808,7.136,18.16368,29.52104,47.32232,10.710099298245614,11.87531439019791
-86.9155,40.4515,1436,0.016,0.688,1.152,2.648,12.083639999999999,23.342959999999998,67.49712,7.920338328690808,9.856291859031893
