grid_lat,grid_lon,grid_height,total_sample,thput_mean,thput_std,thput_0,thput_5,thput_10,thput_25,thput_50,thput_75,thput_90,thput_95,thput_100,rbs_mean,rbs_std,rbs_0,rbs_25,rbs_50,rbs_75,rbs_100,rtt_mean,rtt_std,rtt_0,rtt_10,rtt_25,rtt_50,rtt_75,rtt_90,rtt_100,rsrp_mean,rsrp_std,rsrp_0,rsrp_10,rsrp_25,rsrp_50,rsrp_75,rsrp_90,rsrp_100,rsrq_mean,rsrq_std,rsrq_0,rsrq_10,rsrq_25,rsrq_50,rsrq_75,rsrq_90,rsrq_100
-86.9420,40.4665,0.0000,3.0000,78.3813,29.7620,38.9230,43.5731,48.2232,62.1735,85.4240,98.1105,105.7224,108.2597,110.7970,3.2967,0.1109,3.1700,3.2250,3.2800,3.3600,3.4400,467.3333,92.6511,368.0000,383.0000,405.5000,443.0000,517.0000,561.4000,591.0000,-90.2933,2.1176,-93.0000,-92.4100,-91.5250,-90.0500,-88.9400,-88.2740,-87.8300,-10.6300,0.0990,-10.7700,-10.7280,-10.6650,-10.5600,-10.5600,-10.5600,-10.5600
-86.9420,40.4675,0.0000,4.0000,29.7229,5.1667,23.9413,24.2056,24.4699,25.2627,29.0933,33.5536,35.4796,36.1216,36.7636,7.3375,2.3070,4.8200,5.1650,7.2750,9.4475,9.9800,700.0000,195.5722,542.0000,542.0000,542.0000,618.5000,776.5000,923.2000,1021.0000,-90.0075,2.8670,-94.5100,-93.2230,-91.2925,-89.3600,-88.0750,-87.3100,-86.8000,-10.6950,0.1492,-10.9500,-10.8600,-10.7250,-10.6200,-10.5900,-10.5900,-10.5900
-86.9415,40.4665,0.0000,2.0000,42.4565,7.9985,34.4580,35.2578,36.0577,38.4573,42.4565,46.4557,48.8553,49.6551,50.4550,3.4900,0.0200,3.4700,3.4800,3.4900,3.5000,3.5100,535.0000,8.0000,527.0000,528.6000,531.0000,535.0000,539.0000,541.4000,543.0000,-95.7000,1.1800,-96.8800,-96.6440,-96.2900,-95.7000,-95.1100,-94.7560,-94.5200,-10.9100,0.1100,-11.0200,-10.9980,-10.9650,-10.9100,-10.8550,-10.8220,-10.8000
-86.9415,40.4675,0.0000,2.0000,75.3356,10.1533,65.1822,66.1976,67.2129,70.2589,75.3356,80.4122,83.4582,84.4736,85.4889,5.3300,0.2400,5.0900,5.2100,5.3300,5.4500,5.5700,431.5000,48.5000,383.0000,392.7000,407.2500,431.5000,455.7500,470.3000,480.0000,-85.6750,2.3650,-88.0400,-87.5670,-86.8575,-85.6750,-84.4925,-83.7830,-83.3100,-10.5700,0.0100,-10.5800,-10.5780,-10.5750,-10.5700,-10.5650,-10.5620,-10.5600
-86.9410,40.4660,0.0000,2.0000,62.4480,6.3360,56.1120,56.7456,57.3792,59.2800,62.4480,65.6160,67.5168,68.1504,68.7840,3.7850,0.2250,3.5600,3.6725,3.7850,3.8975,4.0100,530.0000,21.0000,509.0000,513.2000,519.5000,530.0000,540.5000,546.8000,551.0000,-95.4000,0.2000,-95.6000,-95.5600,-95.5000,-95.4000,-95.3000,-95.2400,-95.2000,-10.6150,0.0150,-10.6300,-10.6270,-10.6225,-10.6150,-10.6075,-10.6030,-10.6000
-86.9410,40.4670,0.0000,2.0000,76.3222,4.2013,72.1209,72.5410,72.9612,74.2216,76.3222,78.4229,79.6833,80.1034,80.5236,4.1050,0.3050,3.8000,3.9525,4.1050,4.2575,4.4100,420.5000,39.5000,381.0000,388.9000,400.7500,420.5000,440.2500,452.1000,460.0000,-83.3550,0.5050,-83.8600,-83.7590,-83.6075,-83.3550,-83.1025,-82.9510,-82.8500,-10.5750,0.0050,-10.5800,-10.5790,-10.5775,-10.5750,-10.5725,-10.5710,-10.5700
-86.9410,40.4675,0.0000,1.0000,76.3182,0.0000,76.3182,76.3182,76.3182,76.3182,76.3182,76.3182,76.3182,76.3182,76.3182,4.9900,0.0000,4.9900,4.9900,4.9900,4.9900,4.9900,340.0000,0.0000,340.0000,340.0000,340.0000,340.0000,340.0000,340.0000,340.0000,-82.8900,0.0000,-82.8900,-82.8900,-82.8900,-82.8900,-82.8900,-82.8900,-82.8900,-10.5600,0.0000,-10.5600,-10.5600,-10.5600,-10.5600,-10.5600,-10.5600,-10.5600
-86.9405,40.4660,0.0000,3.0000,42.5576,12.6055,25.8377,27.8101,29.7826,35.6999,45.5620,50.9175,54.1308,55.2019,56.2730,3.9433,0.2391,3.6300,3.8100,3.9900,4.1000,4.2100,878.6667,239.4735,540.0000,641.6000,794.0000,1048.0000,1048.0000,1048.0000,1048.0000,-99.0367,0.9308,-100.1100,-99.9200,-99.6350,-99.1600,-98.5000,-98.1040,-97.8400,-10.7500,0.0860,-10.8500,-10.8320,-10.8050,-10.7600,-10.7000,-10.6640,-10.6400
-86.9405,40.4670,0.0000,3.0000,39.4604,6.7349,30.0267,31.3281,32.6295,36.5338,43.0409,44.1773,44.8592,45.0865,45.3138,4.8500,0.0779,4.7900,4.7950,4.8000,4.8800,4.9600,454.6667,118.1365,292.0000,334.2000,397.5000,503.0000,536.0000,555.8000,569.0000,-88.3167,1.0894,-89.8500,-89.4160,-88.7650,-87.6800,-87.5500,-87.4720,-87.4200,-10.6067,0.0236,-10.6400,-10.6300,-10.6150,-10.5900,-10.5900,-10.5900,-10.5900
-86.9400,40.4660,0.0000,2.0000,24.4950,3.4460,21.0490,21.3936,21.7382,22.7720,24.4950,26.2180,27.2518,27.5964,27.9410,5.3300,0.1500,5.1800,5.2550,5.3300,5.4050,5.4800,1119.5000,70.5000,1049.0000,1063.1000,1084.2500,1119.5000,1154.7500,1175.9000,1190.0000,-101.0250,0.1650,-101.1900,-101.1570,-101.1075,-101.0250,-100.9425,-100.8930,-100.8600,-10.6150,0.0050,-10.6200,-10.6190,-10.6175,-10.6150,-10.6125,-10.6110,-10.6100
