grid_lat,grid_lon,grid_height,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,total_avail_sample,avail_sample,avail_sample_ratio,total_thput_sample,thput_sample,thput_sample_ratio,thput_avg_dl,thput_std_dl,thput_0_dl,thput_10_dl,thput_25_dl,thput_50_dl,thput_75_dl,thput_90_dl,thput_100_dl,thput_avg_ul,thput_std_ul,thput_0_ul,thput_10_ul,thput_20_ul,thput_25_ul,thput_30_ul,thput_40_ul,thput_50_ul,thput_60_ul,thput_70_ul,thput_75_ul,thput_80_ul,thput_90_ul,thput_100_ul,rbs_avg,rbs_std,rbs_0,rbs_10,rbs_25,rbs_50,rbs_75,rbs_90,rbs_100
-86.9165,40.462,0,47,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,43,10,0.23255813953488372,31,9,0.2903225806451613,0.27282539682539686,0.07725984010089736,0.16685714285714287,0.1952,0.223,0.2514285714285714,0.296,0.402,0.402,38.86595238095238,20.306996264873526,8.038,9.1412,14.497542857142857,17.884571428571427,26.47754285714285,41.333371428571425,49.19885714285714,50.52697142857143,51.63411428571428,52.15085714285714,55.112228571428574,60.30822857142857,63.324,8.868888888888888,10.196074892323836,3.07,3.126,3.28,3.93,4.0,24.792,32.04,
-86.9165,40.462,0,393,1200,372,125290,408,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,43,4,0.09302325581395349,31,3,0.0967741935483871,0.11295238095238096,0.04003575499481102,0.065,0.07417142857142857,0.08792857142857144,0.11085714285714286,0.13692857142857143,0.15257142857142858,0.163,9.037333333333333,1.7752388258735468,6.578,7.228400000000001,7.8788,8.204,8.5292,9.1796,9.83,10.0048,10.1796,10.267,10.3544,10.529200000000001,10.704,7.8500000000000005,5.444722215136417,4.0,4.0,4.0,4.0,9.775,13.240000000000002,15.55,
-86.9165,40.462,0,50,1001,515,520110,47,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,43,5,0.11627906976744186,31,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.462,0,50,1001,10,520110,47,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,43,4,0.09302325581395349,31,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4615,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,25,8,0.32,15,8,0.5333333333333333,0.2173392857142857,0.036971992812817385,0.159,0.1681,0.19214285714285714,0.217,0.2531428571428571,0.2620571428571429,0.26285714285714284,50.77683928571429,12.230384625553151,36.80914285714285,37.179342857142856,37.88668571428571,38.36678571428571,39.397642857142856,44.213142857142856,50.67107142857142,56.47271428571428,58.991214285714285,59.658,60.0878,64.03101428571429,72.08571428571429,3.01375,0.03637908052713808,3.0,3.0,3.0,3.0,3.0,3.033,3.11,
-86.9165,40.4615,0,47,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,25,8,0.32,15,7,0.4666666666666667,0.1826734693877551,0.04858473492917581,0.07771428571428571,0.1306857142857143,0.1735,0.189,0.2115,0.2246,0.242,30.358714285714285,12.627464644454118,7.944,15.7716,22.1456,23.878999999999998,25.6124,28.678800000000003,31.545,32.5476,35.273399999999995,38.3595,41.445600000000006,45.519800000000004,48.545,7.26,8.576164643941953,3.0,3.342,3.785,4.0,4.0,13.700000000000008,28.25,
-86.9165,40.4615,0,50,1001,10,520110,47,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,25,5,0.2,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.9165,40.4615,0,50,1001,515,520110,47,66736,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,25,4,0.16,15,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
-86.917,40.4615,0,47,1200,372,125290,50,1001,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,20,14,0.7,20,14,0.7,0.18161224489795919,0.0665409939314562,0.108,0.11180000000000001,0.1265,0.155,0.2302857142857143,0.27794285714285716,0.30742857142857144,57.25580612244898,25.36747979846215,34.197,36.6141,40.053714285714285,41.38714285714286,41.75188571428571,43.77668571428571,44.51085714285715,45.301257142857146,52.42927142857142,68.79803571428572,83.94948571428571,101.45074285714286,106.54857142857144,3.3878571428571433,0.8225324880377377,3.0,3.0,3.0,3.065,3.3675,3.7910000000000004,6.2,
-86.917,40.4615,0,47,1200,372,125290,None,None,None,None,None,None,None,None,None,None,None,None,LTE+Sub6,20,6,0.3,20,6,0.3,0.2173571428571429,0.032717690610915146,0.157,0.178,0.20400000000000001,0.223,0.2405,0.2510714285714286,0.2571428571428572,48.75749999999999,8.23244570282732,33.589,39.3925,45.196,45.726749999999996,46.2575,47.319,49.9935,52.668,53.438,53.823,54.208,56.8865,59.565,27.25,3.396812231097465,22.33,23.09,24.7375,27.46,29.5,31.200000000000003,32.24,
